City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Robe,AU,-37.1833,139.75,55.13,53,68,16.82,broken clouds
294,Kismayo,SO,-0.3582,42.5454,79.92,69,32,13.44,scattered clouds
295,Tiznit,MA,29.5833,-9.5,58.82,75,3,1.3,clear sky
296,Port Blair,IN,11.6667,92.75,86.04,74,40,8.05,scattered clouds
297,Krasnyy Chikoy,RU,50.3643,108.7512,36.82,41,100,6.89,overcast clouds
298,Halifax,CA,44.6453,-63.5724,48.47,80,99,5.01,overcast clouds
299,Boa Vista,BR,2.8197,-60.6733,78.78,83,20,4.61,few clouds
300,Yulara,AU,-25.2406,130.9889,82.24,12,1,12.66,clear sky
301,Humberto De Campos,BR,-2.5983,-43.4611,76.01,90,50,4.63,scattered clouds
302,Chesma,RU,53.8111,60.6533,35.82,73,100,15.82,overcast clouds
303,Rimouski,CA,48.4488,-68.524,42.48,82,0,4.38,clear sky
304,Alofi,NU,-19.0595,-169.9187,80.49,65,75,18.41,broken clouds
305,Hwange,ZW,-18.3693,26.5019,69.57,57,2,5.17,clear sky
306,Kyren,RU,51.6828,102.1408,36.19,64,78,0.74,broken clouds
307,Mount Isa,AU,-20.7333,139.5,82.17,61,90,9.22,overcast clouds
308,Monte Carmelo,BR,-18.7247,-47.4986,71.17,53,90,7.02,overcast clouds
309,Plettenberg Bay,ZA,-34.0527,23.3716,61.27,92,98,11.74,light rain
310,Shasta Lake,US,40.6804,-122.3708,63.32,82,33,3.11,scattered clouds
311,Oxford,GB,51.7522,-1.256,58.46,90,75,19.57,moderate rain
312,Laibin,CN,23.7,109.2667,70.36,72,100,6.78,overcast clouds
313,Poum,NC,-20.2333,164.0167,75.7,79,2,10.09,clear sky
314,Bilibino,RU,68.0546,166.4372,-16.71,94,45,3.65,scattered clouds
315,Avera,US,33.194,-82.5271,64.27,84,12,6.8,few clouds
316,Luau,AO,-10.7073,22.2247,66.24,88,100,1.61,overcast clouds
317,Camocim,BR,-2.9022,-40.8411,77.45,83,62,6.8,broken clouds
318,Norman Wells,CA,65.282,-126.8329,23.04,86,90,6.91,light snow
319,Stropkov,SK,49.2021,21.6522,46.15,80,29,3.62,scattered clouds
320,Shahr-E Babak,IR,30.1165,55.1186,56.23,30,3,2.46,clear sky
321,Saravan,AM,39.7196,45.6483,29.05,40,60,4.38,broken clouds
322,Jibuti,DJ,11.5,42.5,71.02,44,0,8.32,clear sky
323,Ugoofaaru,MV,5.6667,73.0,81.97,74,77,9.64,broken clouds
324,Midland,US,31.9974,-102.0779,57.99,30,1,4.61,clear sky
325,Ikom,NG,5.9667,8.7063,72.73,99,98,0.81,light rain
326,Mezen,RU,65.8522,44.24,25.54,84,100,8.86,overcast clouds
327,Tpig,RU,41.7801,47.589,33.8,54,0,4.32,clear sky
328,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,19,0,5.75,clear sky
329,Saldanha,ZA,-33.0117,17.9442,59.05,92,78,13.06,broken clouds
330,Camacha,PT,33.0833,-16.3333,67.42,78,20,10.36,few clouds
331,Gohpur,IN,26.8833,93.6333,80.85,62,0,3.85,clear sky
332,Dingle,PH,10.9995,122.6711,84.36,76,77,12.24,broken clouds
333,Batagay,RU,67.6333,134.6333,14.29,85,100,2.95,overcast clouds
334,De Aar,ZA,-30.6497,24.0123,57.36,93,72,8.1,moderate rain
335,Tuatapere,NZ,-46.1333,167.6833,60.69,77,59,8.81,broken clouds
336,Te Anau,NZ,-45.4167,167.7167,67.03,51,6,3.33,clear sky
337,Korla,CN,41.7597,86.1469,54.73,34,100,5.37,overcast clouds
338,Hami,CN,42.8,93.45,55.8,27,3,1.92,clear sky
339,The Pas,CA,53.8251,-101.2541,39.22,81,1,8.05,clear sky
340,Manzhouli,CN,49.6,117.4333,44.01,48,100,6.67,overcast clouds
341,Hofn,IS,64.2539,-15.2082,43.84,88,100,13.94,light rain
342,Buraydah,SA,26.326,43.975,64.85,21,15,9.22,few clouds
343,Inta,RU,66.0317,60.1659,17.04,86,90,15.32,overcast clouds
344,Baruun-Urt,MN,46.6806,113.2792,46.54,38,100,8.1,overcast clouds
